,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,conda_total_downloads,updated_on
2021-10-06,2.0,2.0,15.0,5.0,16,3,91,0,2,4,5,2,0,671,13,6116,363,2021-10-19
2021-10-07,95.0,8.0,140.0,9.0,16,3,91,0,2,4,5,2,12,671,119,6235,363,2021-10-19
2021-10-08,2.0,2.0,1.0,1.0,16,3,91,0,2,4,5,2,0,671,30,6265,363,2021-10-19
2021-10-09,1.0,1.0,0.0,0.0,16,3,91,0,2,4,5,2,0,671,2,6267,363,2021-10-19
2021-10-10,1.0,1.0,0.0,0.0,16,3,91,0,2,4,5,2,0,671,0,6267,363,2021-10-19
2021-10-11,1.0,1.0,14.0,2.0,16,3,91,0,2,4,5,2,0,671,22,6289,363,2021-10-19
2021-10-12,1.0,1.0,17.0,4.0,16,3,91,0,2,4,5,2,0,671,48,6337,363,2021-10-19
2021-10-13,1.0,1.0,9.0,4.0,16,3,91,0,2,4,5,2,0,671,46,6383,363,2021-10-19
2021-10-14,1.0,1.0,2.0,2.0,19,3,92,1,2,4,5,2,0,674,59,6015,371,2021-10-27
2021-10-15,0.0,0.0,0.0,0.0,19,3,92,1,2,4,5,2,0,674,0,6015,371,2021-10-27
2021-10-16,0.0,0.0,1.0,1.0,19,3,93,0,2,4,5,2,0,681,11,5947,372,2021-10-29
2021-10-17,0.0,0.0,1.0,1.0,19,3,93,0,2,4,5,2,0,681,2,5949,372,2021-10-29
2021-10-18,6.0,4.0,1.0,1.0,19,3,93,0,2,4,5,2,1,681,96,6045,372,2021-10-29
2021-10-19,0.0,0.0,13.0,2.0,19,3,93,0,2,4,5,2,0,681,22,6048,372,2021-11-01
2021-10-20,0.0,0.0,2.0,2.0,19,3,93,0,2,4,5,2,0,681,6,6054,372,2021-11-01
2021-10-21,12.0,2.0,39.0,5.0,19,3,93,0,2,4,5,2,0,681,16,6070,372,2021-11-01
2021-10-22,2.0,1.0,15.0,2.0,19,3,93,0,2,4,5,2,0,681,17,6087,372,2021-11-01
2021-10-23,71.0,2.0,3.0,1.0,19,3,93,0,2,4,5,2,0,681,9,6096,372,2021-11-01
2021-10-24,106.0,4.0,0.0,0.0,19,3,93,0,2,4,5,2,0,681,1,6097,372,2021-11-01
2021-10-25,189.0,9.0,168.0,12.0,19,3,93,0,2,4,5,2,3,681,54,6151,372,2021-11-01
2021-10-26,54.0,4.0,95.0,6.0,19,3,93,0,2,4,5,2,5,681,197,6237,376,2021-11-08
2021-10-27,9.0,2.0,51.0,10.0,19,3,93,0,2,4,5,2,1,681,213,6450,376,2021-11-08
2021-10-28,9.0,5.0,14.0,6.0,19,3,93,0,2,4,5,2,1,681,38,6488,376,2021-11-08
2021-10-29,1.0,1.0,11.0,7.0,19,3,93,0,2,4,5,2,0,681,166,6654,376,2021-11-08
2021-10-30,0.0,0.0,2.0,1.0,19,3,93,0,2,4,5,2,0,681,12,6666,376,2021-11-08
2021-10-31,0.0,0.0,12.0,1.0,19,3,93,0,2,4,5,2,0,681,4,6670,376,2021-11-08
2021-11-01,0.0,0.0,29.0,5.0,19,3,93,0,2,4,5,2,0,681,24,6694,376,2021-11-08
2021-11-02,0.0,0.0,16.0,1.0,19,3,93,0,2,4,5,2,0,683,25,6446,383,2021-11-15
2021-11-03,1.0,1.0,26.0,6.0,19,3,93,0,2,4,5,2,0,683,14,6460,383,2021-11-15
2021-11-04,0.0,0.0,8.0,6.0,19,3,93,0,2,4,5,2,0,683,25,6485,383,2021-11-15
2021-11-05,0.0,0.0,0.0,0.0,19,3,93,0,2,4,5,2,0,683,19,6504,383,2021-11-15
2021-11-06,0.0,0.0,0.0,0.0,19,4,93,0,2,4,4,2,0,684,2,6376,385,2021-11-19
2021-11-07,1.0,1.0,1.0,1.0,19,4,93,0,2,4,4,2,0,684,1,6377,385,2021-11-19
2021-11-08,0.0,0.0,1.0,1.0,19,4,93,0,2,4,4,2,0,684,6,6383,385,2021-11-19
2021-11-09,0.0,0.0,2.0,2.0,19,4,93,0,3,4,4,2,0,684,69,6429,387,2021-11-22
2021-11-10,9.0,5.0,4.0,3.0,19,4,93,0,3,4,4,2,1,684,41,6470,387,2021-11-22
2021-11-11,9.0,5.0,21.0,2.0,19,4,93,0,3,4,4,2,1,684,56,6526,387,2021-11-22
2021-11-12,2.0,1.0,4.0,3.0,19,4,93,0,3,4,4,2,0,684,11,6537,387,2021-11-22
2021-11-13,0.0,0.0,1.0,1.0,19,4,93,0,3,4,4,2,0,684,0,6537,387,2021-11-22
2021-11-14,0.0,0.0,0.0,0.0,19,4,93,0,3,4,4,2,0,684,2,6539,387,2021-11-22
2021-11-15,7.0,3.0,13.0,4.0,19,4,93,0,3,4,4,2,1,684,12,6551,387,2021-11-22
2021-11-16,0.0,0.0,20.0,7.0,19,4,93,0,3,4,4,2,0,684,173,6648,390,2021-11-29
2021-11-17,0.0,0.0,2.0,2.0,19,4,93,0,3,4,4,2,0,684,3,6651,390,2021-11-29
2021-11-18,0.0,0.0,21.0,6.0,19,4,93,0,3,4,4,2,0,684,76,6727,390,2021-11-29
2021-11-19,1.0,1.0,39.0,8.0,19,4,93,0,3,4,4,2,0,684,44,6771,390,2021-11-29
2021-11-20,0.0,0.0,0.0,0.0,19,4,93,0,3,4,4,2,0,684,56,6827,390,2021-11-29
2021-11-21,1.0,1.0,2.0,2.0,19,4,93,0,3,4,4,2,0,684,7,6834,390,2021-11-29
2021-11-22,0.0,0.0,25.0,4.0,19,4,93,0,3,4,4,2,0,684,62,6896,390,2021-11-29
2021-11-23,2.0,2.0,5.0,5.0,19,4,93,0,3,4,4,2,0,685,36,6828,391,2021-12-06
2021-11-24,0.0,0.0,14.0,5.0,19,4,93,0,3,4,4,2,0,685,0,6828,391,2021-12-06
2021-11-25,2.0,2.0,0.0,0.0,19,4,93,0,3,4,4,2,0,685,0,6828,391,2021-12-06
2021-11-26,1.0,1.0,3.0,2.0,19,4,93,0,3,4,4,2,0,685,0,6828,391,2021-12-06
2021-11-27,1.0,1.0,0.0,0.0,19,4,93,0,3,4,4,2,0,685,0,6828,391,2021-12-06
2021-11-28,0.0,0.0,3.0,1.0,19,4,93,0,3,4,4,2,0,685,0,6828,391,2021-12-06
2021-11-29,1.0,1.0,7.0,3.0,19,4,93,0,3,4,4,2,0,685,0,6828,391,2021-12-06
2021-11-30,3.0,2.0,7.0,2.0,19,4,93,0,3,4,4,2,0,685,6,6754,395,2021-12-13
2021-12-01,0.0,0.0,1.0,1.0,19,4,93,0,3,4,4,2,0,685,18,6772,395,2021-12-13
2021-12-02,3.0,2.0,7.0,1.0,19,4,93,0,3,4,4,2,0,685,22,6794,395,2021-12-13
2021-12-03,5.0,2.0,1.0,1.0,19,4,93,0,3,4,4,2,1,685,10,6804,395,2021-12-13
2021-12-04,0.0,0.0,0.0,0.0,19,4,93,0,3,4,4,2,0,685,0,6804,395,2021-12-13
2021-12-05,1.0,1.0,0.0,0.0,19,4,93,0,3,4,4,2,0,685,65,6869,395,2021-12-13
2021-12-06,4.0,3.0,4.0,3.0,19,4,93,0,3,4,4,2,0,685,37,6906,395,2021-12-13
