,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,conda_total_downloads,updated_on
2021-10-06,58,10,33,1,26,66,18,14,0,375,116,18660,3470,2021-10-19
2021-10-07,58,10,33,1,26,66,18,14,0,375,188,18848,3470,2021-10-19
2021-10-08,58,10,33,1,26,66,18,14,0,375,98,18946,3470,2021-10-19
2021-10-09,58,10,33,1,26,66,18,14,0,375,29,18975,3470,2021-10-19
2021-10-10,58,10,33,1,26,66,18,14,0,375,33,19008,3470,2021-10-19
2021-10-11,58,10,33,1,26,66,18,14,0,375,132,19140,3470,2021-10-19
2021-10-12,58,10,33,1,26,66,18,14,0,375,77,19217,3470,2021-10-19
2021-10-13,58,10,33,1,26,66,18,14,0,375,83,19300,3470,2021-10-19
2021-10-14,58,10,33,1,26,66,18,14,0,375,103,18710,3484,2021-10-27
2021-10-15,58,10,33,1,26,66,18,14,0,375,64,18774,3484,2021-10-27
2021-10-16,58,10,33,1,26,66,18,14,0,375,13,18642,3485,2021-10-29
2021-10-17,58,10,33,1,26,66,18,14,0,375,14,18656,3485,2021-10-29
2021-10-18,58,10,33,1,26,66,18,14,0,375,85,18741,3485,2021-10-29
2021-10-19,58,10,33,1,26,66,18,14,0,375,88,18716,3487,2021-11-01
2021-10-20,58,10,33,1,26,66,18,14,0,375,58,18774,3487,2021-11-01
2021-10-21,58,10,33,1,26,66,18,14,0,375,60,18834,3487,2021-11-01
2021-10-22,58,10,33,1,26,66,18,14,0,375,64,18898,3487,2021-11-01
2021-10-23,58,10,33,1,26,66,18,14,0,375,9,18907,3487,2021-11-01
2021-10-24,58,10,33,1,26,66,18,14,0,375,5,18912,3487,2021-11-01
2021-10-25,58,10,33,1,26,66,18,14,0,375,105,19017,3487,2021-11-01
2021-10-26,58,10,33,1,26,66,18,14,0,375,159,19176,3487,2021-11-01
2021-10-27,58,10,33,1,26,66,18,14,0,375,324,19500,3487,2021-11-01
2021-10-28,58,10,33,1,26,66,18,14,0,375,152,19652,3487,2021-11-01
2021-10-29,58,10,33,1,26,66,18,14,0,375,87,19739,3487,2021-11-01
2021-10-30,58,10,33,1,26,66,18,14,0,375,50,19789,3487,2021-11-01
2021-10-31,58,10,33,1,26,66,18,14,0,375,31,19820,3487,2021-11-01
2021-11-01,58,10,33,1,26,66,18,14,0,375,0,19820,3487,2021-11-01
